,certifications,workshops,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,worked in teams ever?,Suggested Job Role
2105,r programming,data science,poor,data engineering,cloud computing,Sales and Marketing,yes,Mobile Applications Developer
2106,python,testing,excellent,IOT,testing,Testing and Maintainance Services,yes,Mobile Applications Developer
2107,information security,hacking,medium,cloud computing,system developer,Finance,no,Mobile Applications Developer
2108,distro making,data science,excellent,Computer Architecture,developer,Cloud Services,yes,Mobile Applications Developer
2109,r programming,data science,excellent,networks,testing,Finance,yes,Mobile Applications Developer
2110,r programming,hacking,medium,hacking,cloud computing,product development,no,Mobile Applications Developer
2111,app development,system designing,excellent,programming,security,Product based,yes,Mobile Applications Developer
2112,information security,system designing,excellent,IOT,security,product development,no,Mobile Applications Developer
2113,shell programming,testing,excellent,hacking,Business process analyst,Sales and Marketing,no,Mobile Applications Developer
2114,shell programming,web technologies,poor,Software Engineering,system developer,Product based,yes,Mobile Applications Developer
2115,information security,web technologies,medium,programming,Business process analyst,Finance,no,Mobile Applications Developer
2116,r programming,database security,medium,IOT,Business process analyst,Cloud Services,yes,Mobile Applications Developer
2117,hadoop,testing,medium,IOT,system developer,Service Based,no,Mobile Applications Developer
2118,hadoop,hacking,poor,hacking,Business process analyst,Service Based,no,Mobile Applications Developer
2119,python,game development,excellent,networks,cloud computing,Sales and Marketing,no,Mobile Applications Developer
2120,hadoop,cloud computing,medium,data engineering,cloud computing,SAaS services,yes,Mobile Applications Developer
2121,app development,game development,medium,IOT,system developer,product development,no,Mobile Applications Developer
2122,r programming,hacking,medium,Computer Architecture,cloud computing,Web Services,yes,Mobile Applications Developer
2123,machine learning,database security,excellent,programming,developer,Service Based,no,Mobile Applications Developer
2124,information security,testing,medium,hacking,system developer,SAaS services,yes,Mobile Applications Developer
2125,distro making,data science,poor,Software Engineering,cloud computing,product development,yes,Mobile Applications Developer
2126,shell programming,cloud computing,medium,cloud computing,security,Service Based,no,Mobile Applications Developer
2127,machine learning,database security,excellent,parallel computing,system developer,BPA,no,Mobile Applications Developer
2128,shell programming,data science,medium,parallel computing,cloud computing,Testing and Maintainance Services,yes,Mobile Applications Developer
2129,r programming,data science,medium,Computer Architecture,system developer,Service Based,no,Mobile Applications Developer
2130,hadoop,hacking,excellent,Management,system developer,Cloud Services,yes,Mobile Applications Developer
2131,shell programming,system designing,medium,Computer Architecture,security,BPA,yes,Mobile Applications Developer
2132,r programming,data science,poor,programming,testing,Product based,no,Mobile Applications Developer
2133,r programming,system designing,excellent,Computer Architecture,Business process analyst,product development,yes,Mobile Applications Developer
2134,r programming,hacking,excellent,IOT,developer,Service Based,no,Mobile Applications Developer
2135,machine learning,system designing,excellent,programming,system developer,BPA,no,Mobile Applications Developer
2136,shell programming,testing,poor,Computer Architecture,cloud computing,Testing and Maintainance Services,yes,Mobile Applications Developer
2137,python,hacking,medium,parallel computing,Business process analyst,Service Based,no,Mobile Applications Developer
2138,information security,hacking,medium,Computer Architecture,system developer,BPA,no,Mobile Applications Developer
2139,r programming,web technologies,poor,IOT,system developer,product development,no,Mobile Applications Developer
2140,information security,web technologies,medium,Management,testing,BPA,no,Mobile Applications Developer
2141,machine learning,cloud computing,medium,programming,testing,product development,yes,Mobile Applications Developer
2142,r programming,cloud computing,poor,Computer Architecture,cloud computing,SAaS services,no,Mobile Applications Developer
2143,information security,cloud computing,medium,Management,security,BPA,no,Mobile Applications Developer
2144,shell programming,cloud computing,poor,data engineering,cloud computing,Finance,no,Mobile Applications Developer
2145,distro making,database security,excellent,hacking,Business process analyst,Product based,no,Mobile Applications Developer
2146,distro making,game development,excellent,networks,developer,Service Based,yes,Mobile Applications Developer
2147,information security,system designing,medium,IOT,developer,SAaS services,no,Mobile Applications Developer
2148,shell programming,hacking,medium,data engineering,security,Service Based,yes,Mobile Applications Developer
2149,shell programming,cloud computing,poor,IOT,cloud computing,Cloud Services,yes,Mobile Applications Developer
2150,full stack,web technologies,excellent,parallel computing,system developer,Finance,yes,Mobile Applications Developer
2151,machine learning,data science,poor,parallel computing,cloud computing,Product based,no,Mobile Applications Developer
2152,r programming,testing,poor,programming,Business process analyst,SAaS services,yes,Mobile Applications Developer
2153,shell programming,hacking,excellent,hacking,system developer,BPA,yes,Mobile Applications Developer
2154,machine learning,testing,excellent,Software Engineering,testing,Web Services,yes,Mobile Applications Developer
2155,information security,hacking,medium,cloud computing,Business process analyst,Service Based,yes,Mobile Applications Developer
2156,full stack,system designing,excellent,Software Engineering,security,Cloud Services,yes,Mobile Applications Developer
2157,full stack,game development,excellent,hacking,cloud computing,product development,yes,Mobile Applications Developer
2158,app development,game development,poor,parallel computing,cloud computing,product development,yes,Mobile Applications Developer
2159,shell programming,game development,medium,networks,developer,Service Based,yes,Mobile Applications Developer
2160,shell programming,data science,medium,data engineering,security,Web Services,yes,Mobile Applications Developer
